583, 5, 0 
1289, 6, 887 
2348, 2, 295 
3407, 1, 295 
4113, 5, 295 
4642, 1, 295 
5348, 6, 591 
6230, 2, 295 
6671, 1, 295 
6847, 1, 295 
7289, 1, 295 
7995, 1, 295 
8348, 6, 0 
8877, 1, 0 
9407, 1, 0 
10113, 2, 249 
10466, 1, 249 
10819, 1, 249 
11525, 1, 249 
11701, 1, 249 
12054, 1, 249 
12407, 6, 499 
13201, 1, 499 
13466, 1, 499 
13819, 6, 249 
14260, 1, 249 
14525, 2, 499 
15054, 1, 499 
15760, 2, 249 
16113, 1, 249 
16466, 1, 249 
17172, 1, 249 
17525, 1, 249 
17789, 1, 249 
18054, 6, 499 
18848, 1, 499 
19113, 1, 499 
19466, 6, 123 
20172, 6, 376 
20613, 1, 376 
20877, 6, 591 
21672, 1, 591 
21936, 1, 591 
22289, 1, 591 
22819, 2, 295 
23348, 1, 295 
23525, 1, 295 
23877, 6, 295 
24495, 1, 295 
24760, 1, 295 
25113, 6, 591 
25995, 1, 591 
26260, 1, 591 
26525, 6, 591 
27319, 1, 591 
27583, 1, 591 
27936, 1, 591 
28466, 2, 295 
28995, 1, 295 
29172, 1, 295 
29525, 6, 295 
30142, 1, 295 
30407, 1, 295 
30760, 1, 295 
31289, 1, 295 
31907, 1, 295 
32172, 6, 591 
32966, 1, 591 
33230, 1, 591 
33583, 6, 295 
34113, 1, 295 
34642, 1, 295 
34819, 1, 295 
35525, 2, 295 
35877, 1, 295 
36230, 1, 295 
36583, 6, 295 
37289, 1, 295 
37554, 1, 295 
37819, 6, 591 
38613, 1, 591 
38877, 1, 591 
39230, 6, 591 
40113, 1, 591 
40377, 1, 591 
40642, 6, 591 
41525, 1, 591 
41877, 5, 591 
42230, 1, 591 
42760, 5, 591 
43289, 2, 295 
44348, 1, 295 
45054, 6, 887 
46113, 2, 295 
46642, 2, 295 
47172, 2, 295 
48230, 1, 295 
48936, 1, 295 
49112, 1, 295 
49289, 6, 0 
49819, 2, 0 
50525, 1, 0 
51054, 2, 0 
51760, 1, 0 
52113, 6, 0 
52642, 1, 0 
52819, 2, 0 
53348, 1, 0 
53877, 1, 0 
54583, 1, 0 
54936, 6, 0 
55466, 2, 0 
56172, 1, 0 
56701, 1, 0 
57407, 1, 0 
57760, 6, 0 
58289, 2, 0 
58819, 1, 0 
59525, 2, 0 
60054, 1, 0 
60583, 6, 0 
61113, 1, 0 
61289, 2, 0 
61819, 1, 0 
62348, 2, 0 
62877, 1, 0 
63230, 6, 0 
64025, 1, 0 
64289, 1, 0 
64819, 6, 0 
65348, 2, 0 
66054, 1, 0 
66583, 1, 0 
67113, 1, 0 
67466, 1, 0 
67995, 1, 0 
68525, 1, 0 
68701, 1, 0 
69054, 6, 295 
69583, 2, 147 
70113, 1, 147 
70819, 2, 295 
71348, 1, 295 
71525, 1, 295 
71877, 6, 295 
72407, 2, 147 
72936, 1, 147 
73289, 6, 295 
73995, 1, 295 
74348, 1, 295 
75054, 2, 295 
75407, 1, 295 
75760, 1, 295 
76113, 6, 295 
76642, 2, 295 
77083, 1, 295 
77348, 1, 295 
77877, 1, 295 
78407, 1, 295 
78760, 1, 295 
79289, 1, 295 
79819, 1, 295 
79995, 1, 295 
80348, 6, 295 
80877, 2, 147 
81407, 1, 147 
82113, 2, 295 
82642, 1, 295 
82819, 1, 295 
83172, 6, 295 
83701, 2, 147 
84230, 1, 147 
84583, 6, 295 
85289, 1, 295 
85642, 1, 295 
86348, 1, 295 
86877, 1, 295 
87407, 6, 295 
88113, 1, 295 
88466, 1, 295 
88642, 5, 295 
